,Location,Weather,Temperature,Date,Time,Names,No. of individuals seen,No. of individuals heard,No. of individuals seen and heard,Comments,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,codes
0,B7,cloudy,,2024-05-23,07:00:00,black kite,0,1,0,,,,,,,,,,0
1,B7,cloudy,,2024-05-23,07:00:00,large billed crow,0,0,2,,,,,,,,,,0
2,B7,cloudy,,2024-05-23,07:00:00,common tailorbird,0,1,0,,,,,,,,,,0
3,B7,cloudy,,2024-05-23,07:00:00,white cheeked barbet,0,2,0,,,,,,,,,,0
4,B7,cloudy,,2024-05-23,07:00:00,common myna,0,1,0,,,,,,,,,,0
5,B7,cloudy,,2024-05-23,07:00:00,jungle myna,0,1,0,,,,,,,,,,0
6,B7,cloudy,,2024-05-23,07:00:00,greater coucal,0,1,0,,,,,,,,,,0
7,B7,cloudy,,2024-05-23,07:01:00,large billed crow,0,3,0,,,,,,,,,,1
8,B7,cloudy,,2024-05-23,07:01:00,white cheeked barbet,0,2,0,,,,,,,,,,1
9,B7,cloudy,,2024-05-23,07:01:00,common myna,0,2,0,,,,,,,,,,1
10,B7,cloudy,,2024-05-23,07:01:00,black kite,0,1,0,,,,,,,,,,1
11,B7,cloudy,,2024-05-23,07:01:00,asian koel,0,1,0,,,,,,,,,,1
12,B7,cloudy,,2024-05-23,07:02:00,pale billed flowerpecker,0,2,0,,,,,,,,,,2
13,B7,cloudy,,2024-05-23,07:02:00,large billed crow,0,2,0,,,,,,,,,,2
14,B7,cloudy,,2024-05-23,07:02:00,jungle myna,0,1,0,,,,,,,,,,2
15,B7,cloudy,,2024-05-23,07:02:00,common myna,0,2,0,,,,,,,,,,2
16,B7,cloudy,,2024-05-23,07:02:00,white cheeked barbet,0,2,0,,,,,,,,,,2
17,B7,cloudy,,2024-05-23,07:02:00,oriental magpie robin,0,1,0,,,,,,,,,,2
18,B7,cloudy,,2024-05-23,07:02:00,tickells blue flycatcher,0,1,0,,,,,,,,,,2
19,B7,cloudy,,2024-05-23,07:03:00,oriental magpie robin,0,1,0,,,,,,,,,,3
20,B7,cloudy,,2024-05-23,07:03:00,asian koel,0,1,0,,,,,,,,,,3
21,B7,cloudy,,2024-05-23,07:03:00,pale billed flowerpecker,0,1,0,,,,,,,,,,3
22,B7,cloudy,,2024-05-23,07:03:00,common myna,0,1,0,aaa,typo; probably 1 heard,,,,,,,,3
23,B7,cloudy,,2024-05-23,07:03:00,tickells blue flycatcher,0,1,0,,,,,,,,,,3
24,B7,cloudy,,2024-05-23,07:03:00,large billed crow,0,2,0,,,,,,,,,,3
25,B7,cloudy,,2024-05-23,07:03:00,white cheeked barbet,0,2,0,,,,,,,,,,3
26,B7,cloudy,,2024-05-23,07:04:00,asian koel,0,1,0,,,,,,,,,,4
27,B7,cloudy,,2024-05-23,07:04:00,large billed crow,0,3,0,,,,,,,,,,4
28,B7,cloudy,,2024-05-23,07:04:00,rose ringed parakeet,0,1,0,,,,,,,,,,4
29,B7,cloudy,,2024-05-23,07:04:00,pale billed flowerpecker,0,0,1,,,,,,,,,,4
30,B7,cloudy,,2024-05-23,07:04:00,oriental magpie robin,0,1,0,,,,,,,,,,4
31,B7,cloudy,,2024-05-23,07:05:00,white cheeked barbet,0,2,0,,,,,,,,,,5
32,B7,cloudy,,2024-05-23,07:05:00,large billed crow,0,2,0,,,,,,,,,,5
33,B7,cloudy,,2024-05-23,07:05:00,rose ringed parakeet,0,0,2,,,,,,,,,,5
34,B7,cloudy,,2024-05-23,07:05:00,black kite,0,1,0,,,,,,,,,,5
35,B7,cloudy,,2024-05-23,07:05:00,common myna,0,1,0,,,,,,,,,,5
36,B7,cloudy,,2024-05-23,07:06:00,common myna,0,2,0,,,,,,,,,,6
37,B7,cloudy,,2024-05-23,07:06:00,large billed crow,0,0,3,,,,,,,,,,6
38,B7,cloudy,,2024-05-23,07:06:00,greater coucal,0,2,0,,,,,,,,,,6
39,B7,cloudy,,2024-05-23,07:06:00,jungle myna,0,2,0,,,,,,,,,,6
40,B7,cloudy,,2024-05-23,07:06:00,common tailorbird,0,1,0,,,,,,,,,,6
41,B7,cloudy,,2024-05-23,07:07:00,tickells blue flycatcher,0,1,0,,,,,,,,,,7
42,B7,cloudy,,2024-05-23,07:07:00,large billed crow,0,0,2,,,,,,,,,,7
43,B7,cloudy,,2024-05-23,07:07:00,asian koel,1,0,0,,,,,,,,,,7
44,B7,cloudy,,2024-05-23,07:08:00,large billed crow,0,0,3,,,,,,,,,,8
45,B7,cloudy,,2024-05-23,07:08:00,black kite,0,1,0,,,,,,,,,,8
46,B7,cloudy,,2024-05-23,07:08:00,common myna,0,1,0,,,,,,,,,,8
47,B7,cloudy,,2024-05-23,07:08:00,red whiskered bulbul,0,1,0,,,,,,,,,,8
48,B7,cloudy,,2024-05-23,07:08:00,oriental magpie robin,0,1,0,,,,,,,,,,8
49,B7,cloudy,,2024-05-23,07:09:00,asian koel,0,1,1,,,,,,,,,,9
50,B7,cloudy,,2024-05-23,07:09:00,large billed crow,0,0,3,,,,,,,,,,9
51,B7,cloudy,,2024-05-23,07:09:00,white cheeked barbet,0,2,0,,,,,,,,,,9
52,B7,cloudy,,2024-05-23,07:09:00,common myna,0,2,0,,,,,,,,,,9
53,B7,cloudy,,2024-05-23,07:09:00,common tailorbird,0,1,0,,,,,,,,,,9
54,B7,cloudy,,2024-05-23,07:10:00,black kite,0,1,0,,,,,,,,,,10
55,B7,cloudy,,2024-05-23,07:10:00,large billed crow,0,0,3,,,,,,,,,,10
56,B7,cloudy,,2024-05-23,07:10:00,rose ringed parakeet,0,0,1,,,,,,,,,,10
57,B7,cloudy,,2024-05-23,07:10:00,cinerous tit,0,1,0,,,,,,,,,,10
58,B7,cloudy,,2024-05-23,07:10:00,white cheeked barbet,0,1,0,,,,,,,,,,10
59,B7,cloudy,,2024-05-23,07:10:00,common myna,0,1,0,,,,,,,,,,10
60,B7,cloudy,,2024-05-23,07:10:00,jungle myna,0,1,0,,,,,,,,,,10
61,B7,cloudy,,2024-05-23,07:11:00,oriental magpie robin,0,1,0,,,,,,,,,,11
62,B7,cloudy,,2024-05-23,07:11:00,large billed crow,0,0,2,,,,,,,,,,11
63,B7,cloudy,,2024-05-23,07:11:00,common myna,0,1,0,,,,,,,,,,11
64,B7,cloudy,,2024-05-23,07:11:00,jungle myna,0,1,0,,,,,,,,,,11
65,B7,cloudy,,2024-05-23,07:12:00,common myna,0,2,0,,,,,,,,,,12
66,B7,cloudy,,2024-05-23,07:12:00,large billed crow,0,0,2,,,,,,,,,,12
67,B7,cloudy,,2024-05-23,07:12:00,black kite,0,1,0,,,,,,,,,,12
68,B7,cloudy,,2024-05-23,07:12:00,pale billed flowerpecker,0,1,0,,,,,,,,,,12
69,B7,cloudy,,2024-05-23,07:13:00,black kite,0,1,0,,,,,,,,,,13
70,B7,cloudy,,2024-05-23,07:13:00,common tailorbird,0,1,0,,,,,,,,,,13
71,B7,cloudy,,2024-05-23,07:13:00,asian koel,0,1,0,,,,,,,,,,13
72,B7,cloudy,,2024-05-23,07:13:00,white cheeked barbet,0,2,0,,,,,,,,,,13
73,B7,cloudy,,2024-05-23,07:13:00,common myna,0,2,0,,,,,,,,,,13
74,B7,cloudy,,2024-05-23,07:14:00,purple rumped sunbird,0,1,0,,,,,,,,,,14
75,B7,cloudy,,2024-05-23,07:14:00,large billed crow,0,0,3,,,,,,,,,,14
76,B7,cloudy,,2024-05-23,07:14:00,white cheeked barbet,0,2,0,,,,,,,,,,14
77,B7,cloudy,,2024-05-23,07:14:00,asian koel,0,2,0,,,,,,,,,,14
78,B7,cloudy,,2024-05-23,07:14:00,black kite,0,1,0,,,,,,,,,,14
79,B7,cloudy,,2024-05-23,07:14:00,rose ringed parakeet,0,1,0,,,,,,,,,,14
80,B7,cloudy,,2024-05-23,07:15:00,large billed crow,0,0,2,,,,,,,,,,15
81,B7,cloudy,,2024-05-23,07:15:00,common myna,0,1,0,,,,,,,,,,15
82,B7,cloudy,,2024-05-23,07:15:00,white cheeked barbet,0,2,0,,,,,,,,,,15
83,B7,cloudy,,2024-05-23,07:20:00,large billed crow,0,0,2,,,,,,,,,,20
84,B7,cloudy,,2024-05-23,07:20:00,oriental magpie robin,0,1,0,,,,,,,,,,20
85,B7,cloudy,,2024-05-23,07:20:00,purple rumped sunbird,0,1,0,,,,,,,,,,20
86,B7,cloudy,,2024-05-23,07:20:00,pale billed flowerpecker,0,0,1,,,,,,,,,,20
87,B7,cloudy,,2024-05-23,07:20:00,common myna,0,1,0,,,,,,,,,,20
88,B7,cloudy,,2024-05-23,07:20:00,asian koel,0,1,0,,,,,,,,,,20
89,B7,cloudy,,2024-05-23,07:21:00,white cheeked barbet,0,1,0,,,,,,,,,,21
90,B7,cloudy,,2024-05-23,07:21:00,asian koel,0,2,0,,,,,,,,,,21
91,B7,cloudy,,2024-05-23,07:21:00,large billed crow,0,2,0,,,,,,,,,,21
92,B7,cloudy,,2024-05-23,07:21:00,spotted owlet,0,1,0,,,,,,,,,,21
93,B7,cloudy,,2024-05-23,07:22:00,large billed crow,0,0,2,,,,,,,,,,22
94,B7,cloudy,,2024-05-23,07:22:00,rose ringed parakeet,0,1,0,,,,,,,,,,22
95,B7,cloudy,,2024-05-23,07:22:00,coppersmith barbet,0,1,0,,,,,,,,,,22
96,B7,cloudy,,2024-05-23,07:22:00,asian koel,0,2,0,,,,,,,,,,22
97,B7,cloudy,,2024-05-23,07:23:00,large billed crow,0,0,2,,,,,,,,,,23
98,B7,cloudy,,2024-05-23,07:23:00,purple rumped sunbird,0,1,0,,,,,,,,,,23
99,B7,cloudy,,2024-05-23,07:23:00,red whiskered bulbul,0,1,0,,,,,,,,,,23
100,B7,cloudy,,2024-05-23,07:23:00,pale billed flowerpecker,0,1,0,,,,,,,,,,23
101,B7,cloudy,,2024-05-23,07:23:00,common myna,0,0,2,,,,,,,,,,23
102,B7,cloudy,,2024-05-23,07:23:00,jungle myna,0,1,0,,,,,,,,,,23
103,B7,cloudy,,2024-05-23,07:24:00,red whiskered bulbul,0,1,0,,,,,,,,,,24
104,B7,cloudy,,2024-05-23,07:24:00,purple rumped sunbird,0,1,0,,,,,,,,,,24
105,B7,cloudy,,2024-05-23,07:24:00,asian koel,0,1,0,,,,,,,,,,24
106,B7,cloudy,,2024-05-23,07:24:00,white cheeked barbet,0,1,0,,,,,,,,,,24
107,B7,cloudy,,2024-05-23,07:25:00,rose ringed parakeet,0,1,0,,,,,,,,,,25
108,B7,cloudy,,2024-05-23,07:25:00,asian koel,0,2,0,,,,,,,,,,25
109,B7,cloudy,,2024-05-23,07:25:00,white cheeked barbet,0,1,0,,,,,,,,,,25
110,B7,cloudy,,2024-05-23,07:25:00,common myna,0,2,0,,,,,,,,,,25
111,B7,cloudy,,2024-05-23,07:25:00,red whiskered bulbul,0,1,0,,,,,,,,,,25
112,B7,cloudy,,2024-05-23,07:26:00,greater coucal,0,1,0,,,,,,,,,,26
113,B7,cloudy,,2024-05-23,07:26:00,asian koel,0,2,0,,,,,,,,,,26
114,B7,cloudy,,2024-05-23,07:26:00,white cheeked barbet,0,1,0,,,,,,,,,,26
115,B7,cloudy,,2024-05-23,07:26:00,black kite,0,1,0,,,,,,,,,,26
116,B7,cloudy,,2024-05-23,07:26:00,common tailorbird,0,1,0,,,,,,,,,,26
117,B7,cloudy,,2024-05-23,07:26:00,common myna,0,1,0,,,,,,,,,,26
118,B7,cloudy,,2024-05-23,07:27:00,white cheeked barbet,0,1,0,,,,,,,,,,27
119,B7,cloudy,,2024-05-23,07:27:00,common myna,0,2,0,,,,,,,,,,27
120,B7,cloudy,,2024-05-23,07:27:00,asian koel,0,1,0,,,,,,,,,,27
121,B7,cloudy,,2024-05-23,07:27:00,black kite,0,0,1,,,,,,,,,,27
122,B7,cloudy,,2024-05-23,07:27:00,large billed crow,0,1,0,,,,,,,,,,27
123,B7,cloudy,,2024-05-23,07:28:00,large billed crow,0,2,0,,,,,,,,,,28
124,B7,cloudy,,2024-05-23,07:28:00,white cheeked barbet,0,2,0,,,,,,,,,,28
125,B7,cloudy,,2024-05-23,07:28:00,purple rumped sunbird,0,1,0,,,,,,,,,,28
126,B7,cloudy,,2024-05-23,07:28:00,asian koel,0,2,0,,,,,,,,,,28
127,B7,cloudy,,2024-05-23,07:28:00,common myna,0,1,0,,,,,,,,,,28
128,B7,cloudy,,2024-05-23,07:28:00,indian white eye,0,1,0,,,,,,,,,,28
129,B7,cloudy,,2024-05-23,07:29:00,common tailorbird,0,1,0,,,,,,,,,,29
130,B7,cloudy,,2024-05-23,07:29:00,common myna,0,1,0,,,,,,,,,,29
131,B7,cloudy,,2024-05-23,07:29:00,white cheeked barbet,0,1,0,,,,,,,,,,29
132,B7,cloudy,,2024-05-23,07:29:00,large billed crow,0,0,1,,,,,,,,,,29
133,B7,cloudy,,2024-05-23,07:29:00,red whiskered bulbul,0,1,0,,,,,,,,,,29
134,B7,cloudy,,2024-05-23,07:29:00,oriental magpie robin,0,1,0,,,,,,,,,,29
135,B7,cloudy,,2024-05-23,07:30:00,asian koel,0,1,0,,,,,,,,,,30
136,B7,cloudy,,2024-05-23,07:30:00,large billed crow,0,0,2,,,,,,,,,,30
137,B7,cloudy,,2024-05-23,07:30:00,oriental magpie robin,0,1,0,,,,,,,,,,30
138,B7,cloudy,,2024-05-23,07:30:00,common myna,0,2,0,,,,,,,,,,30
139,B7,cloudy,,2024-05-23,07:30:00,red whiskered bulbul,0,1,0,,,,,,,,,,30
140,B7,cloudy,,2024-05-23,07:30:00,white cheeked barbet,0,2,0,,,,,,,,,,30
141,B7,cloudy,,2024-05-23,07:31:00,large billed crow,0,2,0,,,,,,,,,,31
142,B7,cloudy,,2024-05-23,07:31:00,oriental magpie robin,0,1,0,,,,,,,,,,31
143,B7,cloudy,,2024-05-23,07:31:00,pale billed flowerpecker,0,1,0,,,,,,,,,,31
144,B7,cloudy,,2024-05-23,07:31:00,asian koel,0,1,0,,,,,,,,,,31
145,B7,cloudy,,2024-05-23,07:31:00,common myna,0,1,0,,,,,,,,,,31
146,B7,cloudy,,2024-05-23,07:31:00,jungle myna,0,1,0,,,,,,,,,,31
147,B7,cloudy,,2024-05-23,07:32:00,white cheeked barbet,0,1,0,,,,,,,,,,32
148,B7,cloudy,,2024-05-23,07:32:00,large billed crow,0,2,0,,,,,,,,,,32
149,B7,cloudy,,2024-05-23,07:32:00,oriental magpie robin,0,1,0,,,,,,,,,,32
150,B7,cloudy,,2024-05-23,07:32:00,greater coucal,0,1,0,,,,,,,,,,32
151,B7,cloudy,,2024-05-23,07:32:00,red whiskered bulbul,0,1,0,,,,,,,,,,32
152,B7,cloudy,,2024-05-23,07:33:00,black kite,0,1,0,,,,,,,,,,33
153,B7,cloudy,,2024-05-23,07:33:00,oriental magpie robin,0,0,1,,,,,,,,,,33
154,B7,cloudy,,2024-05-23,07:33:00,large billed crow,0,0,2,,,,,,,,,,33
155,B7,cloudy,,2024-05-23,07:33:00,greater coucal,0,1,0,,,,,,,,,,33
156,B7,cloudy,,2024-05-23,07:33:00,red whiskered bulbul,0,1,0,,,,,,,,,,33
157,B7,cloudy,,2024-05-23,07:34:00,asian koel,0,2,0,,,,,,,,,,34
158,B7,cloudy,,2024-05-23,07:34:00,oriental magpie robin,0,0,2,,,,,,,,,,34
159,B7,cloudy,,2024-05-23,07:34:00,large billed crow,0,0,3,,,,,,,,,,34
160,B7,cloudy,,2024-05-23,07:34:00,white cheeked barbet,0,1,0,,,,,,,,,,34
161,B7,cloudy,,2024-05-23,07:34:00,common myna,0,2,0,,,,,,,,,,34
162,B7,cloudy,,2024-05-23,07:35:00,large billed crow,0,0,2,,,,,,,,,,35
163,B7,cloudy,,2024-05-23,07:35:00,common myna,0,1,0,,,,,,,,,,35
164,B7,cloudy,,2024-05-23,07:35:00,cinerous tit,0,1,0,,,,,,,,,,35
165,B7,cloudy,,2024-05-23,07:35:00,asian koel,1,0,0,,,,,,,,,,35
166,B7,cloudy,,2024-05-23,07:35:00,oriental magpie robin,0,1,0,,,,,,,,,,35
167,B7,cloudy,,2024-05-23,07:35:00,jungle myna,0,1,0,,,,,,,,,,35
168,B7,cloudy,,2024-05-23,07:35:00,greater coucal,0,1,0,,,,,,,,,,35
169,B7,cloudy,,2024-05-23,07:35:00,black kite,0,1,0,,,,,,,,,,35
170,B7,cloudy,,2024-05-23,07:40:00,oriental magpie robin,0,2,0,,,,,,,,,,40
171,B7,cloudy,,2024-05-23,07:40:00,greater coucal,0,2,0,,,,,,,,,,40
172,B7,cloudy,,2024-05-23,07:40:00,tickells blue flycatcher,0,1,0,,,,,,,,,,40
173,B7,cloudy,,2024-05-23,07:40:00,white cheeked barbet,0,1,0,,,,,,,,,,40
174,B7,cloudy,,2024-05-23,07:40:00,large billed crow,0,0,2,,,,,,,,,,40
175,B7,cloudy,,2024-05-23,07:41:00,large billed crow,0,0,1,,,,,,,,,,41
176,B7,cloudy,,2024-05-23,07:41:00,white cheeked barbet,0,1,0,,,,,,,,,,41
177,B7,cloudy,,2024-05-23,07:41:00,spotted owlet,0,1,0,,,,,,,,,,41
178,B7,cloudy,,2024-05-23,07:41:00,common myna,0,1,0,,,,,,,,,,41
179,B7,cloudy,,2024-05-23,07:41:00,common tailorbird,0,1,0,,,,,,,,,,41
180,B7,cloudy,,2024-05-23,07:42:00,jungle myna,0,2,0,,,,,,,,,,42
181,B7,cloudy,,2024-05-23,07:42:00,large billed crow,0,0,5,,,,,,,,,,42
182,B7,cloudy,,2024-05-23,07:42:00,black kite,0,1,0,,,,,,,,,,42
183,B7,cloudy,,2024-05-23,07:43:00,asian koel,0,1,0,,,,,,,,,,43
184,B7,cloudy,,2024-05-23,07:43:00,oriental magpie robin,0,1,0,,,,,,,,,,43
185,B7,cloudy,,2024-05-23,07:43:00,large billed crow,0,0,3,,,,,,,,,,43
186,B7,cloudy,,2024-05-23,07:43:00,black kite,0,1,0,,,,,,,,,,43
187,B7,cloudy,,2024-05-23,07:43:00,tickells blue flycatcher,0,0,1,,,,,,,,,,43
188,B7,cloudy,,2024-05-23,07:43:00,common tailorbird,1,0,0,,,,,,,,,,43
189,B7,cloudy,,2024-05-23,07:43:00,common myna,0,0,1,,,,,,,,,,43
190,B7,cloudy,,2024-05-23,07:44:00,white cheeked barbet,0,1,0,,,,,,,,,,44
191,B7,cloudy,,2024-05-23,07:44:00,indian white eye,0,1,0,,,,,,,,,,44
192,B7,cloudy,,2024-05-23,07:44:00,oriental magpie robin,0,1,0,,,,,,,,,,44
193,B7,cloudy,,2024-05-23,07:44:00,asian koel,0,1,0,,,,,,,,,,44
194,B7,cloudy,,2024-05-23,07:45:00,oriental magpie robin,0,1,0,,,,,,,,,,45
195,B7,cloudy,,2024-05-23,07:45:00,white cheeked barbet,0,1,0,,,,,,,,,,45
196,B7,cloudy,,2024-05-23,07:45:00,tickells blue flycatcher,0,0,1,,,,,,,,,,45
197,B7,cloudy,,2024-05-23,07:45:00,asian koel,0,1,0,,,,,,,,,,45
198,B7,cloudy,,2024-05-23,07:45:00,common tailorbird,0,1,0,,,,,,,,,,45
199,B7,cloudy,,2024-05-23,07:45:00,common myna,0,1,0,,,,,,,,,,45
200,B7,cloudy,,2024-05-23,07:45:00,jungle myna,0,1,0,,,,,,,,,,45
201,B7,cloudy,,2024-05-23,07:46:00,jungle myna,0,1,0,,,,,,,,,,46
202,B7,cloudy,,2024-05-23,07:46:00,common myna,0,2,0,,,,,,,,,,46
203,B7,cloudy,,2024-05-23,07:46:00,oriental magpie robin,0,1,0,,,,,,,,,,46
204,B7,cloudy,,2024-05-23,07:46:00,greater coucal,0,1,0,,,,,,,,,,46
205,B7,cloudy,,2024-05-23,07:47:00,common myna,0,1,0,,,,,,,,,,47
206,B7,cloudy,,2024-05-23,07:47:00,large billed crow,0,6,0,,,,,,,,,,47
207,B7,cloudy,,2024-05-23,07:47:00,oriental magpie robin,0,1,0,,,,,,,,,,47
208,B7,cloudy,,2024-05-23,07:47:00,asian koel,0,1,0,,,,,,,,,,47
209,B7,cloudy,,2024-05-23,07:48:00,oriental magpie robin,0,1,0,,,,,,,,,,48
210,B7,cloudy,,2024-05-23,07:48:00,large billed crow,0,4,0,,,,,,,,,,48
211,B7,cloudy,,2024-05-23,07:48:00,tickells blue flycatcher,0,0,1,,,,,,,,,,48
212,B7,cloudy,,2024-05-23,07:48:00,greater coucal,0,1,0,,,,,,,,,,48
213,B7,cloudy,,2024-05-23,07:49:00,tickells blue flycatcher,0,0,1,,,,,,,,,,49
214,B7,cloudy,,2024-05-23,07:49:00,oriental magpie robin,0,1,0,,,,,,,,,,49
215,B7,cloudy,,2024-05-23,07:49:00,large billed crow,0,4,0,,,,,,,,,,49
216,B7,cloudy,,2024-05-23,07:50:00,cinerous tit,0,0,1,,,,,,,,,,50
217,B7,cloudy,,2024-05-23,07:50:00,oriental magpie robin,0,1,0,,,,,,,,,,50
218,B7,cloudy,,2024-05-23,07:50:00,asian koel,0,1,0,,,,,,,,,,50
219,B7,cloudy,,2024-05-23,07:50:00,common myna,0,1,0,,,,,,,,,,50
220,B7,cloudy,,2024-05-23,07:51:00,indian white eye,0,1,0,,,,,,,,,,51
221,B7,cloudy,,2024-05-23,07:51:00,cinerous tit,1,0,0,,,,,,,,,,51
222,B7,cloudy,,2024-05-23,07:51:00,tickells blue flycatcher,1,0,0,,,,,,,,,,51
223,B7,cloudy,,2024-05-23,07:52:00,asian koel,0,1,0,,,,,,,,,,52
224,B7,cloudy,,2024-05-23,07:52:00,red whiskered bulbul,0,1,0,,,,,,,,,,52
225,B7,cloudy,,2024-05-23,07:52:00,tickells blue flycatcher,0,0,1,,,,,,,,,,52
226,B7,cloudy,,2024-05-23,07:52:00,large billed crow,0,2,0,,,,,,,,,,52
227,B7,cloudy,,2024-05-23,07:52:00,white cheeked barbet,0,2,0,,,,,,,,,,52
228,B7,cloudy,,2024-05-23,07:53:00,asian koel,0,1,0,,,,,,,,,,53
229,B7,cloudy,,2024-05-23,07:53:00,cinerous tit,0,0,1,,,,,,,,,,53
230,B7,cloudy,,2024-05-23,07:53:00,cinerous tit,0,0,1,,,,,,,,,,53
231,B7,cloudy,,2024-05-23,07:54:00,cinerous tit,0,0,2,,,,,,,,,,54
232,B7,cloudy,,2024-05-23,07:54:00,greater coucal,0,1,0,,,,,,,,,,54
233,B7,cloudy,,2024-05-23,07:54:00,white cheeked barbet,0,2,0,,,,,,,,,,54
234,B7,cloudy,,2024-05-23,07:54:00,large billed crow,0,2,0,,,,,,,,,,54
235,B7,cloudy,,2024-05-23,07:54:00,jungle myna,0,1,0,,typo; probably 1 heard,,,,,,,,54
236,B7,cloudy,,2024-05-23,07:54:00,pale billed flowerpecker,0,1,0,,,,,,,,,,54
237,B7,cloudy,,2024-05-23,07:55:00,white cheeked barbet,0,1,0,,,,,,,,,,55
238,B7,cloudy,,2024-05-23,07:55:00,pale billed flowerpecker,0,1,0,,,,,,,,,,55
239,B7,cloudy,,2024-05-23,07:55:00,common tailorbird,0,1,0,,,,,,,,,,55
240,B7,cloudy,,2024-05-23,07:55:00,large billed crow,0,1,0,,,,,,,,,,55
241,B7,cloudy,,2024-05-23,07:55:00,tickells blue flycatcher,1,0,0,,,,,,,,,,55
242,Rocks ,sunny,,2024-05-22,07:00:00,large billed crow,0,3,1,,,,,,,,,,0
243,Rocks ,sunny,,2024-05-22,07:00:00,rose ringed parakeet,0,0,2,,,,,,,,,,0
244,Rocks ,sunny,,2024-05-22,07:00:00,red whiskered bulbul,2,2,0,,,,,,,,,,0
245,Rocks ,sunny,,2024-05-22,07:00:00,white cheeked barbet,0,1,0,,,,,,,,,,0
246,Rocks ,sunny,,2024-05-22,07:00:00,pale billed flowerpecker,0,1,0,,,,,,,,,,0
247,Rocks ,sunny,,2024-05-22,07:01:00,purple rumped sunbird,0,1,0,,,,,,,,,,1
248,Rocks ,sunny,,2024-05-22,07:01:00,oriental magpie robin,0,1,0,,,,,,,,,,1
249,Rocks ,sunny,,2024-05-22,07:01:00,red whiskered bulbul,0,0,2,,,,,,,,,,1
250,Rocks ,sunny,,2024-05-22,07:01:00,indian white eye,0,2,0,,,,,,,,,,1
251,Rocks ,sunny,,2024-05-22,07:01:00,black kite,1,0,0,,,,,,,,,,1
252,Rocks ,sunny,,2024-05-22,07:02:00,common tailorbird,0,1,0,,,,,,,,,,2
253,Rocks ,sunny,,2024-05-22,07:02:00,oriental magpie robin,0,1,0,,,,,,,,,,2
254,Rocks ,sunny,,2024-05-22,07:02:00,red whiskered bulbul,0,0,2,,,,,,,,,,2
255,Rocks ,sunny,,2024-05-22,07:02:00,white cheeked barbet,0,2,0,,,,,,,,,,2
256,Rocks ,sunny,,2024-05-22,07:02:00,plum headed parakeet,0,0,1,,,,,,,,,,2
257,Rocks ,sunny,,2024-05-22,07:02:00,indian white eye,0,2,0,,,,,,,,,,2
258,Rocks ,sunny,,2024-05-22,07:03:00,large billed crow,0,0,1,,,,,,,,,,3
259,Rocks ,sunny,,2024-05-22,07:03:00,white cheeked barbet,0,2,0,,,,,,,,,,3
260,Rocks ,sunny,,2024-05-22,07:03:00,indian white eye,0,1,0,,,,,,,,,,3
261,Rocks ,sunny,,2024-05-22,07:03:00,purple rumped sunbird,0,0,2,,,,,,,,,,3
262,Rocks ,sunny,,2024-05-22,07:03:00,oriental magpie robin,0,1,0,,,,,,,,,,3
263,Rocks ,sunny,,2024-05-22,07:03:00,red whiskered bulbul,0,2,0,,,,,,,,,,3
264,Rocks ,sunny,,2024-05-22,07:03:00,ashy prinia,0,1,0,,,,,,,,,,3
265,Rocks ,sunny,,2024-05-22,07:04:00,oriental magpie robin,0,1,0,,,,,,,,,,4
266,Rocks ,sunny,,2024-05-22,07:04:00,purple rumped sunbird,0,1,0,,,,,,,,,,4
267,Rocks ,sunny,,2024-05-22,07:04:00,black kite,1,0,0,,,,,,,,,,4
268,Rocks ,sunny,,2024-05-22,07:04:00,rose ringed parakeet,0,0,1,,,,,,,,,,4
269,Rocks ,sunny,,2024-05-22,07:04:00,red whiskered bulbul,0,0,2,,,,,,,,,,4
270,Rocks ,sunny,,2024-05-22,07:04:00,large billed crow,0,0,2,,,,,,,,,,4
271,Rocks ,sunny,,2024-05-22,07:05:00,common tailorbird,0,1,0,,,,,,,,,,5
272,Rocks ,sunny,,2024-05-22,07:05:00,red whiskered bulbul,0,0,2,,,,,,,,,,5
273,Rocks ,sunny,,2024-05-22,07:05:00,pale billed flowerpecker,0,0,1,,,,,,,,,,5
274,Rocks ,sunny,,2024-05-22,07:05:00,black kite,1,0,0,,,,,,,,,,5
275,Rocks ,sunny,,2024-05-22,07:05:00,rose ringed parakeet,0,0,1,,,,,,,,,,5
276,Rocks ,sunny,,2024-05-22,07:05:00,indian white eye,0,1,0,,,,,,,,,,5
277,Rocks ,sunny,,2024-05-22,07:05:00,oriental magpie robin,0,1,0,,,,,,,,,,5
278,Rocks ,sunny,,2024-05-22,07:06:00,white cheeked barbet,0,2,0,,,,,,,,,,6
279,Rocks ,sunny,,2024-05-22,07:06:00,red whiskered bulbul,0,2,0,,,,,,,,,,6
280,Rocks ,sunny,,2024-05-22,07:06:00,purple rumped sunbird,0,0,2,,,,,,,,,,6
281,Rocks ,sunny,,2024-05-22,07:06:00,indian white eye,0,1,0,,,,,,,,,,6
282,Rocks ,sunny,,2024-05-22,07:06:00,large billed crow,0,1,0,,,,,,,,,,6
283,Rocks ,sunny,,2024-05-22,07:06:00,ashy prinia,0,0,1,,,,,,,,,,6
284,Rocks ,sunny,,2024-05-22,07:07:00,pale billed flowerpecker,0,1,0,,,,,,,,,,7
