Index,File,Time,Battery (V),Temperature (C),Comment
26,20230812_070016.WAV,2023-08-12T07:00:16+05:30,4.2,26.4,Recorded at 07:00:16 12/08/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.2V and temperature was 26.4C. Recording stopped due to switch position change.
27,20230814_070203.WAV,2023-08-14T07:02:03+05:30,4.2,24.2,Recorded at 07:02:03 14/08/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.2V and temperature was 24.2C. Recording stopped due to switch position change.
28,20230906_070305.WAV,2023-09-06T07:03:05+05:30,4.2,24.2,Recorded at 07:03:05 06/09/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.2V and temperature was 24.2C. Recording stopped due to switch position change.
29,20230907_070226.WAV,2023-09-07T07:02:26+05:30,4.2,24.7,Recorded at 07:02:26 07/09/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.2V and temperature was 24.7C. Recording stopped due to switch position change.
30,20230909_070028.WAV,2023-09-09T07:00:28+05:30,4.2,24.0,Recorded at 07:00:28 09/09/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.2V and temperature was 24.0C. Recording stopped due to switch position change.
31,20230926_070153.WAV,2023-09-26T07:01:53+05:30,4.2,25.3,Recorded at 07:01:53 26/09/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.2V and temperature was 25.3C. Recording stopped due to switch position change.
32,20231005_065955.WAV,2023-10-05T06:59:55+05:30,4.1,25.8,Recorded at 06:59:55 05/10/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.1V and temperature was 25.8C. Recording stopped due to switch position change.
33,20231006_065548.WAV,2023-10-06T06:55:48+05:30,4.1,26.3,Recorded at 06:55:48 06/10/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.1V and temperature was 26.3C. Recording stopped due to switch position change.
34,20231007_065832.WAV,2023-10-07T06:58:32+05:30,4.1,26.9,Recorded at 06:58:32 07/10/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.1V and temperature was 26.9C. Recording stopped due to switch position change.
35,20231017_065319.WAV,2023-10-17T06:53:19+05:30,4.1,25.6,Recorded at 06:53:19 17/10/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.1V and temperature was 25.6C. Recording stopped due to switch position change.
36,20231018_070304.WAV,2023-10-18T07:03:04+05:30,4.1,25.8,Recorded at 07:03:04 18/10/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.1V and temperature was 25.8C. Recording stopped due to switch position change.
